,rowid,kepler_id,koi_name,plnt_disposition,plnt_disp_confidence,flag_nTransitLk,flag_scndEvent,flag_centroidOffset,flag_ephMatch,orbital_period,transit_epoch,impact_parameter,transit_duration,transit_depth,planetary_radius,equ_temp,insolation_flux,transit_sigToNoise,stellar_eff_temp,stellar_surf_gravity,stellar_radius,right_acension,declination,kepler_magnitude
1241,1302,8053552,K01549.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,0.08809780810139983,0.4057848601021199,0.46958059154444604,0.2704593108565958,0.17375606497558713,0.0362338517160878,0.6747208181649582,0.04793557614792208,0.04402219727319283,0.07664134606819939,0.21364870721907386,0.12653504652284464,1.4557661714757393,0.022525811681853736,0.5977800933508128
1242,1303,9663113,K00179.02,CONFIRMED,1.0142965434442481,2.721206002398603,0.6032292634276331,0.528209327653692,0.39541432887157024,6.1752995460660465,2.5780330142702623,0.12011973799917282,3.0192138253823657,0.2928366527116076,0.0708710519371197,1.0374772743872132,0.04807732555544155,0.2558118286303615,0.6781263216278371,0.13035595819726717,0.06456389502488626,1.0357075430589724,0.6972710470592755,0.2654704017328632
1243,1304,8111381,K01550.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,0.39541432887157024,0.4024500255485945,0.3971903133939832,0.8125938278656369,0.36929341348318884,0.28207688279205784,0.0022804079191391644,0.17131704064655495,0.04423275018439784,0.07797025762284684,0.06289553367392502,0.5552971762969419,0.1350988991167836,0.8936877608682801,0.024848223854293406,0.6416741863211696
1244,1305,5444549,K01551.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,0.39541432887157024,0.06897444234738188,4.473411746375219,0.3483653877316944,0.019316721020002914,0.17897662867822084,0.048185448092077525,0.6617230298312619,0.04792302880997046,0.15511776547174877,0.2886915754384536,0.39036343260417894,0.11112011185375449,0.3179495855708452,0.8707634319038247,1.0996358896452212
1245,1306,10004738,K01598.03,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2675027850392089,0.40225091392631834,0.37802442696247407,0.4846738283519505,0.31114272394726167,0.08496944980691992,0.563648808767916,0.04781075380952602,0.3311844705011445,0.24662263593587821,0.5906401213739642,0.13618884399237582,0.6788535021447554,0.8798780232260471,0.028442299692937347
1246,1307,5474613,K01599.01,CANDIDATE,0.8724596602547172,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.1927798485508354,0.30260436956155357,0.4734491618788955,0.549787665945312,0.3090627290846583,0.08016317780585167,0.5695568943741417,0.047818980601862224,0.3198253282411835,0.16691393493623594,0.3597328802040944,0.11547989135612342,1.3132679197663937,0.8873419416428449,0.35416787736533456
1247,1308,4860932,K01600.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,0.39541432887157024,0.28555869775055054,0.28981964166390595,0.775197647965958,0.2735657066415241,0.3087687784257262,0.009703230270191017,0.39940402891484295,0.04750109497856908,0.32183684301638493,0.48658024125455734,0.4139253959888591,0.11859401957210121,1.2025617737154781,1.0617820412132595,0.19907541553674207
1248,1309,5438757,K01601.01,CONFIRMED,1.0800028426616037,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3088042082730095,0.4146665734926436,0.2207025666948603,0.13993360983182623,0.310124478864721,0.083143066446514,0.35450257830752796,0.04737976458799918,0.30562640041623224,0.19968750365898183,0.04400257084937326,0.09866359898984325,0.6931302804021114,0.874643183915161,0.24955362245265258
1249,1310,5438757,K01601.02,CONFIRMED,0.7424831217776773,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2977166838190301,0.10332998537438946,0.3986568020795381,0.9937169819444897,0.3084230924508221,0.0806438050059585,0.8035170843806775,0.04802062579243376,0.31485570350245057,0.19968750365898183,0.04400257084937326,0.09866359898984325,0.6931302804021114,0.874643183915161,0.24955362245265258
1250,1311,7750419,K01708.01,CANDIDATE,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.05010983941194474,0.10756760336162345,0.45410631020664793,0.3097013310784438,0.30669818998420867,0.07343439700435611,0.5388348492217683,0.04777506491903155,0.32313841140033883,0.06522469227111649,0.573320869829258,0.02797288848714706,0.2520001886858568,0.09553508919840104,0.3219788758537395
1251,1312,5972334,K00191.04,CONFIRMED,1.0142965434442481,2.721206002398603,0.6032292634276331,0.528209327653692,0.39541432887157024,0.017708418827694045,0.11066989617114402,0.7490190638071528,0.037549340593886815,0.3066746739314941,0.08282264831310944,0.7739766563495492,0.04800553347555799,0.3194703550455597,0.34176141757823575,0.3880072362657101,0.12871493627402908,0.6683557796092912,0.719859088526632,0.49243427022195735
1252,1313,7815744,K01710.01,CONFIRMED,1.075810051097828,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2643446612245815,0.2584218158291961,0.7838361968171984,0.23330935310214837,0.3039221199612541,0.08336735913989718,0.6380906874063592,0.04790006481409674,0.3172221914732758,0.433094647954899,0.7720672394360049,0.16125757613099717,0.526474541467314,0.07698437449946689,0.8421238775524633
1253,1314,7955580,K01711.01,CONFIRMED,1.0632316764065015,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.21408584174968714,0.36552506456049616,0.44469153083045726,0.25232810280579043,0.3043395298969377,0.08243814655302398,0.8956832198377976,0.04805359214733495,0.3219551674149262,0.8796126631296971,0.4963922678352416,0.14101574272714143,0.3760825873935304,0.016846137060608755,0.54364404535404
